,mean,std,min,max
TSI_13_25_13,0.033767782620005,0.2983609871996436,-0.6958816292763339,0.8025513070823165
TSIs_13_25_13,0.04304482490878029,0.33774227371218707,-0.7455121667278167,0.8884900414195982
ad,0.27680352992107915,0.5202349388050603,-0.7919714492015527,0.9573917710330021
adosc,-0.023720140440662892,0.1698318629793697,-0.5431230448010289,0.43287157230523277
adx,0.005053680434519882,0.2614047424730626,-0.758493217861354,0.6886687108307679
adxr,0.014614016544596526,0.306201659207659,-0.8561045626858563,0.9054576854011145
ao,0.06034596424827728,0.23532176827791015,-0.7707940330320175,0.7707291146925176
apo,0.05253186190968699,0.2101875283283935,-0.7201509506216608,0.690088037641052
aroon_down,0.01706733370811183,0.12606103478533087,-0.2970396208012732,0.47492538487803715
aroon_up,0.003238902738837317,0.13974004035355167,-0.7025833768096246,0.6314092911642333
aroonosc,-0.00734164349792294,0.14576865123976424,-0.6557593516367118,0.4909860360747521
atr,0.09744106237849746,0.4765349297082373,-0.8482994894938896,0.9131657924875753
bbands_lower,0.21165655622719912,0.5080966880182362,-0.8244641005428954,0.9962363437321068
bbands_middle,0.208367846133751,0.5094627589290461,-0.827911860752375,0.9988490662214106
bbands_upper,0.20198910817231724,0.5057567126220652,-0.8010598948718717,0.9968205646191766
beta,0.01424916472562848,0.07752783899539162,-0.1978304777952258,0.3562654049540106
bop,-0.010640240441593736,0.05133138910044497,-0.29507282244550204,0.23865260939832145
cci,-0.014324038892488056,0.12494969744172589,-0.5169359740012869,0.38035155643310126
cmo,0.012063734667792753,0.23718872685595754,-0.6049021783609025,0.6095040393950614
correl,0.05704996398036522,0.18400768371778142,-0.7745325210178137,0.37975734531789257
dema,0.20701079311118864,0.5094141038346012,-0.860105749821731,0.9954780801621722
dx,-0.01671320072486911,0.14429687567418992,-0.5085047964045831,0.32467208546827425
ema,0.21646210052608014,0.5291022519161956,-0.8743927435844806,0.9909774980735758
fama,0.21231872118265624,0.5247452375999822,-0.8673279277805146,0.9926602553943681
fi,-0.006057632172142361,0.05441718540896543,-0.3237017969165846,0.23568328487077925
ht_dcperiod,0.04563865074557308,0.18841323305741256,-0.39698230991670413,0.536385789560399
ht_dcpphase,0.03517449965259917,0.124495619709324,-0.4743209507770398,0.396150895870799
ht_phasor_inphase,0.012046268803133297,0.10033438624730696,-0.4857910433035015,0.3212240643828893
ht_phasor_quadrature,0.0011681932986788305,0.02421081846284849,-0.16910954872774198,0.2812310787754294
ht_sine_leadsine,-0.045288476243448436,0.1563532940970355,-0.49057976748576543,0.4239900374513168
ht_sine_sine,-0.036619539079019985,0.11889014332326305,-0.5688517700918209,0.6183234918778134
ht_trendline,0.20708160808903167,0.5208623881755851,-0.8768935877772067,0.991892812178148
ht_trendmode,-0.0323415148653566,0.10316369769453886,-0.5876615865691158,0.5688502909179914
id,0.33916638987927833,0.40296395877936897,-0.840010031262025,0.9112249210864978
kama,0.20811398464512845,0.5229492246217287,-0.8734137706632221,0.9899792113637124
linearreg,0.2039367016399098,0.502552734261993,-0.7871336718592843,0.9975330841563772
linearreg_angle,0.00309013805793179,0.14063712462898317,-0.6150493881131842,0.4098911220262933
linearreg_intercept,0.1976536581736047,0.5062618655245559,-0.8367879345637713,0.9974346694640308
linearreg_slope,0.019565536178049507,0.14629547280982222,-0.6364399528199245,0.4543137986903581
ma,0.21080421818348768,0.5249755866600982,-0.8843777966533933,0.9921784146853423
macd,0.06740371068864817,0.2688553598930095,-0.763950558108376,0.8427551217444902
macd_hist,-0.016226258978958446,0.12876944420461103,-0.7716007438122505,0.4536046830744513
macd_signal,0.07746836989000111,0.2951991105355261,-0.779102465798578,0.9069192395154193
macdext,0.05253186190968699,0.2101875283283935,-0.7201509506216608,0.690088037641052
macdext_hist,-0.029280727911231687,0.11844582731656547,-0.7603960445564469,0.4718742724543509
macdext_signal,0.07048528684206515,0.24376798886503379,-0.7489895414267123,0.792628377449749
macdfix,0.06763414228780884,0.26927115429846626,-0.765070737891794,0.8440539101002172
macdfix_hist,-0.01606851947995471,0.12896662725166688,-0.7736547876307088,0.45400411031483673
macdfix_signal,0.07760347886978286,0.29541797692371424,-0.7792551324086735,0.9074553738477961
mama,0.21076731206305163,0.5147398662788706,-0.8550633984335357,0.9969867964990617
mfi,0.01720870421833003,0.18465799985362408,-0.453200240622928,0.659516426054813
midpoint,0.21153724152945763,0.5175478980204992,-0.8729555178995664,0.9946717423895214
midprice,0.21300841645077723,0.5181582138580493,-0.8697690525617479,0.9945279703989627
minus_di,-0.015570525886007151,0.26790790223485894,-0.6271423162381536,0.5924119301832933
minus_dm,0.026060241784273918,0.43579427362092055,-0.6089766838689064,0.8687944673452969
mom,0.010803654886186847,0.13411612782796947,-0.6390722653470797,0.40399561684851143
natr,-0.0891768401625158,0.2662748603874746,-0.7874262054298365,0.8285513573121854
number_of_trades,0.1473859264291827,0.3200840193071162,-0.47707643044702,0.6571678601744465
nvi,0.2483850014726768,0.4774689055354888,-0.8327298966687824,0.9578147496439571
obv,0.18425490872302067,0.43942150203618346,-0.7539991734218067,0.9045906598483087
obv_price_divergence,-0.002652565877014101,0.19218914358056824,-0.4423004973730941,0.6239521777653294
plus_di,-0.002475870506176209,0.22954960242961103,-0.6668869903969825,0.514029582565687
plus_dm,0.08596450012867075,0.38652244902097094,-0.7032004454651068,0.8467911119395111
ppo,0.00850182206917253,0.23954760624464974,-0.6645106659482467,0.630766510474592
pvi,0.2513195521946965,0.4746535685929946,-0.8307857630512362,0.957565949839834
quote_asset_volume,0.07480055717294164,0.29580510518169895,-0.48375694196467417,0.6531325358327578
roc,-0.020560951379196144,0.16748508359663597,-0.5871306177111174,0.3833765841124878
rocp,-0.02056095137919614,0.16748508359663597,-0.5871306177111174,0.3833765841124876
rocr,-0.020560951379196144,0.16748508359663597,-0.5871306177111172,0.3833765841124877
rocr100,-0.020560951379196144,0.16748508359663597,-0.5871306177111172,0.3833765841124878
rsi,0.012063734667792774,0.23718872685595757,-0.6049021783609027,0.6095040393950617
rvi,-0.00436165225667754,0.13190965095857626,-0.6392664042756508,0.5339757135274497
sar,0.18905981942759367,0.4908167558255666,-0.7827360879321331,0.9868949556716164
sma,0.21080421818348768,0.5249755866600982,-0.8843777966533933,0.9921784146853423
stddev,0.05985699540597806,0.33092235502247935,-0.4618727838966641,0.7409431183060937
stoch_slowd,0.0068273443040282955,0.09760412801636668,-0.33259724083471415,0.3680868291823209
stoch_slowk,0.0033671480846561986,0.0895305433237084,-0.32926505684010765,0.30154026877165624
stochf_fastd,0.0033671480846561986,0.0895305433237084,-0.32926505684010765,0.30154026877165624
stochf_fastk,-0.002321270790338861,0.07549298687685943,-0.3168127215394708,0.24883975555814203
stochrsi_fastd,0.004783171962877475,0.053328389213945275,-0.2510681962357424,0.4079567084614044
stochrsi_fastk,-3.559631082620581e-05,0.04548807704203357,-0.24803145373484364,0.3439144256431347
t3,0.20728891293761373,0.5079320356831659,-0.8116392284595407,0.9986393365867491
taker_buy_base_asset_volume,-0.017461382357143878,0.1817577071365436,-0.36593197718924797,0.46210707315507976
taker_buy_quote_asset_volume,0.07388244384659075,0.2949268592015485,-0.47135273649249,0.6478174449918332
tema,0.20709997920424789,0.5045228014496511,-0.8411040617136383,0.996143670661428
trange,0.06824055510446664,0.34409109237894375,-0.47260333830127665,0.7472702445031805
trima,0.2076455628511145,0.5209486650134226,-0.8660899242702458,0.9951607458779766
trix,0.0037023944280623103,0.4282995571049457,-0.8514019991934036,0.962170502664888
tsf,0.20153276855098137,0.4987365301210937,-0.7707927319733943,0.996703973186989
ultosc,-0.012500240763008971,0.15285057775970878,-0.4511680572235956,0.3863592649491057
var,0.03898526369559333,0.231080734128649,-0.30557919244207593,0.5640391521593948
volume_osc,0.005224649554767487,0.05443171188969955,-0.3795550091922949,0.3162139147334503
