Config ID,Indicator,Parameters,Peak Positive Corr,Peak Positive Lag,Peak Negative Corr,Peak Negative Lag,Peak Absolute Corr,Peak Absolute Lag
89,macd,"{""fastperiod"":2,""slowperiod"":185,""signalperiod"":68}",0.981254,1,0.556881,71,0.981254,1
96,macd,"{""fastperiod"":3,""slowperiod"":185,""signalperiod"":68}",0.981060,1,0.550543,71,0.981060,1
103,macd,"{""fastperiod"":2,""slowperiod"":185,""signalperiod"":72}",0.981013,1,0.561035,72,0.981013,1
90,macd,"{""fastperiod"":2,""slowperiod"":185,""signalperiod"":74}",0.980900,1,0.541904,72,0.980900,1
94,macd,"{""fastperiod"":2,""slowperiod"":185,""signalperiod"":62}",0.980849,1,0.230306,75,0.980849,1
84,macd,"{""fastperiod"":2,""slowperiod"":185,""signalperiod"":75}",0.980846,1,0.536052,72,0.980846,1
83,macd,"{""fastperiod"":3,""slowperiod"":185,""signalperiod"":75}",0.980704,1,0.549076,71,0.980704,1
81,macd,"{""fastperiod"":3,""slowperiod"":177,""signalperiod"":75}",0.980432,1,0.533328,71,0.980432,1
91,macd,"{""fastperiod"":2,""slowperiod"":205,""signalperiod"":68}",0.980206,1,0.365208,70,0.980206,1
80,macd,"{""fastperiod"":2,""slowperiod"":177,""signalperiod"":83}",0.980100,1,0.548372,72,0.980100,1
69,macd,"{""fastperiod"":3,""slowperiod"":177,""signalperiod"":83}",0.980044,1,0.561227,71,0.980044,1
88,macd,"{""fastperiod"":2,""slowperiod"":185,""signalperiod"":82}",0.979969,1,0.492655,72,0.979969,1
85,macd,"{""fastperiod"":4,""slowperiod"":185,""signalperiod"":75}",0.979949,1,0.560550,71,0.979949,1
82,macd,"{""fastperiod"":4,""slowperiod"":177,""signalperiod"":75}",0.979690,1,0.520009,71,0.979690,1
79,macd,"{""fastperiod"":3,""slowperiod"":168,""signalperiod"":83}",0.979572,1,0.516859,72,0.979572,1
68,macd,"{""fastperiod"":3,""slowperiod"":177,""signalperiod"":88}",0.979432,1,0.537722,71,0.979432,1
75,macd,"{""fastperiod"":4,""slowperiod"":177,""signalperiod"":83}",0.979365,1,0.572671,71,0.979365,1
100,macd,"{""fastperiod"":2,""slowperiod"":210,""signalperiod"":68}",0.979220,1,0.310218,67,0.979220,1
104,macd,"{""fastperiod"":2,""slowperiod"":174,""signalperiod"":68}",0.979024,1,-0.075515,75,0.979024,1
76,macd,"{""fastperiod"":3,""slowperiod"":177,""signalperiod"":91}",0.978959,1,0.499131,71,0.978959,1
65,macd,"{""fastperiod"":3,""slowperiod"":177,""signalperiod"":92}",0.978772,1,0.479416,71,0.978772,1
59,macd,"{""fastperiod"":3,""slowperiod"":161,""signalperiod"":92}",0.978611,1,0.593169,71,0.978611,1
